Authors,Review.type,AC.Mechanisms,System_Level1,System_Level2
Aitken et al. 2008,Review,Evolution,Trees,
Anderson et al. 2013,Review,Phenology,Marine,Migratory Spp.
Anderson et al. 2013,Review,Evolution,Marine,Migratory Spp.
Angert et al. 2011,Meta-analysis,Range shifts,Terrestrial,All inclusive
Badeck et al. 2004,Review,Phenology,Terrestrial,Plants
Beever et al. 2016,Review,General review,,
Beldade et al. 2011,Review,Morphology/Development,All inclusive,
Bitterlin & Van Buskirk 2014,Meta-analysis,Phenology,Birds,
Boutin & Lane 2014**,Review,Evolution,Terrestrial,Mammals
Boutin & Lane 2014**,Review,Phenology,Terrestrial,Mammals
Boutin & Lane 2014**,Review,Life history traits,Terrestrial,Mammals
Boutin & Lane 2014**,Review,Morphology/Development,Terrestrial,Mammals
Boyles et al. 2011,Review,Physiology,Terrestrial,Endotherms
Canale & Henry 2010,Review,Morphology/Development,Terrestrial,All inclusive
Canale & Henry 2011,Review,Physiology,Terrestrial,All inclusive
Canale & Henry 2012,Review,Life history traits,Terrestrial,All inclusive
Chakraborty 2013,Review,Evolution,Terrestrial,Pathogens
Chakraborty 2013,Review,Range shifts,Terrestrial,Pathogens
Charmantier & Gienapp 2014**,Review,Evolution,Birds,
Charmantier & Gienapp 2014**,Review,Phenology,Birds,
Chen et al. 2011,Meta-analysis,Range shifts,Terrestrial,All inclusive
Chen et al. 2012,Meta-analysis,Range shifts,Terrestrial,All inclusive
Chevin et al. 2013,Review,General review,,
Christmas et al. 2016,Review,Evolution,Terrestrial,Plants
Christmas et al. 2016,Review,Range shifts,Terrestrial,Plants
Christmas et al. 2016,Review,General plasticity,Terrestrial,Plants
Chown et al. 2010,Review,Physiology,All inclusive,
Chown et al. 2010,Review,Evolution,All inclusive,
Crozier & Hutchings 2014**,Review,Phenology,Fishes,
Crozier & Hutchings 2014**,Review,Life history traits,Fishes,
Crozier & Hutchings 2014**,Review,Morphology/Development,Fishes,
Donnelly et al. 2012,Review,Phenology,Birds,
Donnelly et al. 2012,Review,Phenology,Insects,
Donnelly et al. 2012,Review,Phenology,Trees,
Foden et al. 2013,Review,Range shifts,All inclusive,
Foden et al. 2014,Review,Evolution,All inclusive,
Foo & Byrne 2016,Review,Evolution,Marine,Invertebrates
Foo & Byrne 2016,Review,General plasticity,Marine,Invertebrates
Foo & Byrne 2016,Review,Physiology,Marine,Invertebrates
Franks et al. 2014**,Review,Evolution,Terrestrial,Plants
Franks et al. 2014**,Review,Phenology,Terrestrial,Plants
Franks et al. 2014**,Review,Physiology,Terrestrial,Plants
Franks et al. 2014**,Review,Morphology/Development,Terrestrial,Plants
Geinapp et al. 2007,Meta-analysis,Phenology,Birds,
Geinapp et al. 2007,Meta-analysis,Evolution,Birds,
Gunderson & Stillman 2016,Meta-analysis,Physiology,Ectotherms,
Kopp & Matuszewski 2014**,Review,Evolution,All inclusive,
Matesanz et al. 2010,Review,Life history traits,Terrestrial,Plants
Matesanz et al. 2010,Review,Range shifts,Terrestrial,Plants
Matesanz et al. 2010,Review,Phenology,Terrestrial,Plants
Matesanz et al. 2010,Review,Physiology,Terrestrial,Plants
Matesanz et al. 2010,Review,Evolution,Terrestrial,Plants
Meril_ & Hendry 2014**,Review,Evolution,All inclusive,
Meril_ & Hendry 2014**,Review,General plasticity,All inclusive,
Munday et al. 2013,Review,Evolution,Marine,All inclusive
Munday et al. 2013,Review,General plasticity,Marine,All inclusive
Nicotra et al. 2015,Review,General review,,
O'Connor et al. 2012,Review,General review,,
Park et al. 2014,Review,Phenology,Trees,
Park et al. 2014,Review,Physiology,Trees,
Parmesan 2006,Review,Phenology,All inclusive,
Parmesan 2007,Review,Range shifts,All inclusive,
Parmesan 2008,Review,Evolution,All inclusive,
Parmesan 2007,Meta-analysis,Phenology,All inclusive,
Parmesan & Yohe 2003,Meta-analysis,Range shifts,All inclusive,
Parmesan & Yohe 2004,Meta-analysis,Phenology,All inclusive,
Pautasso 2012,Review,Phenology,Birds,
Pautasso 2012,Review,Range shifts,Birds,
Penuelas & Filella 2001,Review,Phenology,All inclusive,
Penuelas et al. 2013,Review,Evolution,All inclusive,
Penuelas et al. 2013,Review,Life history traits,All inclusive,
Penuelas et al. 2013,Review,Phenology,All inclusive,
Penuelas et al. 2013,Review,Physiology,All inclusive,
Penuelas et al. 2013,Review,Morphology/Development,All inclusive,
Penuelas et al. 2013,Review,Range shifts,All inclusive,
Poloczanska et al. 2013,Meta-analysis,Range shifts,Marine,All inclusive
Poloczanska et al. 2014,Meta-analysis,Phenology,Marine,All inclusive
Przeslawski et al. 2012,Meta-analysis,Range shifts,Marine,All inclusive
Reed et al. 2011,Review,Evolution,All inclusive,
Reed et al. 2012,Review,General plasticity,All inclusive,
Reusch et al. 2014**,Review,Evolution,Marine,All inclusive
Reusch et al. 2014**,Review,General plasticity,Marine,All inclusive
Richardson et al. 2013,Review,Phenology,Terrestrial,Plants
Root et al. 2003,Meta-analysis,Phenology,Terrestrial,All inclusive
Rymer et al. 2016,Review,Evolution,Terrestrial,Mammals
Rymer et al. 2017,Review,Behavior,Terrestrial,Mammals
Rymer et al. 2018,Review,Morphology/Development,Terrestrial,Mammals
Rymer et al. 2019,Review,Physiology,Terrestrial,Mammals
Schilthuizen & Kellermann 2014**,Review,Evolution,Terrestrial,Invertebrates
